Words,Frequency
khaul,1
khaulraha,1
khawaab,1
khawab,6
khawah,1
khawahish,2
khawahshen,1
khawaish,1
khawaja,3
khawand,1
khawani,1
khawar,1
khawateeen,2
khawateeens,1
khawateen,79
khawaten,2
khawatin,1
khawish,2
khay,1
khaya,9
khayaal,2
khayaali,2
khayal,75
khayalaat,5
khayalat,7
khayali,2
khayam,1
khayanat,2
khaye,2
khayega,2
khayer,1
khayi,2
khaylaf,4
khaytab,2
khazan,1
khazana,28
khazanchi,1
khazane,3
khazano,2
khazany,1
khazat,1
khb,1
khbar,1
khbasat,1
khbees,1
khbes,1
khbr,3
khbre,1
khbsoorat,2
khch,1
khd,7
khe,5
kheaar,1
khech,1
khechna,1
khedeye,1
khedmatey,1
khee,1
kheein,1
kheel,21
kheelein,1
kheeli,2
kheelna,5
kheelne,6
kheelon,6
kheelta,1
kheelte,2
kheench,1
kheenchny,1
kheer,2
khel,26
khela,21
khelaf,25
khelafat,1
khelain,1
khelana,2
khelari,44
khelariyon,2
khelaryon,11
khele,9
kheley,1
kheli,5
kheliaf,1
khelna,5
khelnay,2
khelne,16
khelon,2
khelta,3
kheltay,4
khelte,14
kheltey,1
khelti,2
khemey,1
khena,1
khench,1
khencha,2
khenchnaaa,1
khenchne,1
khenchti,1
kher,13
kheran,1
kherati,2
kherbad,1
kheriyat,1
khesiani,1
kheti,2
khey,1
kheyal,4
khez,3
khezi,1
khgazane,1
khi,15
khial,1
khiar,1
khidmaat,17
khidmat,70
khidmata,1
khidmatgar,2
khidmet,1
khidmut,1
khil,1
khila,4
khilaaf,33
khilaao,1
khiladi,5
khilae,1
khilaf,97
khilafat,11
khilafwarzi,3
khilain,1
khilane,1
khilao,2
khilari,23
khilariuo,1
khilariuon,1
khilariyon,27
khilaryon,1
khilaya,2
khilaye,1
khili,1
khilji,1
khilna,1
khilnay,1
khilon,1
khilona,2
khilwar,1
khilwarh,1
khilwat,1
khincha,1
khind,1
khine,1
khinzeer,1
khiraaj,1
khiraj,9
khiraje,1
khirzar,1
khisak,2
khitaab,4
khitab,12
khiton,2
khitte,1
khittey,1
khiuf,1
khiyal,2
khizaa,1
khizar,1
khizr,1
khizri,1
khjd,1
khl,1
khlain,1
khlal,1
khlengy,1
khlte,1
khm,1
khmeeyab,1
khn,8
khna,6
khndrat,1
khne,1
khnn,1
khny,1
kho,12
khoad,1
khob,10
khobi,7
khobiyan,2
khobrorat,1
khobsoorti,1
khobsorat,14
khobsort,1
khobsorti,2
khobsurat,13
khobsurati,2
khobsurti,1
khod,5
khodai,1
khodna,1
khof,7
khoff,1
khofiya,1
khofnaak,10
khofnak,4
khog,1
khoish,2
khoj,1
khokey,1
khokhar,1
khokharapar,1
khokhli,1
khokrapar,1
khol,19
khola,1
kholay,1
khole,5
kholeen,1
kholein,2
kholenge,2
kholi,3
kholin,1
kholnay,2
kholne,2
kholny,1
kholta,2
kholti,4
kholy,1
khon,3
khonay,1
khoni,1
khonkhawar,1
khonrizi,1
khoo,1
khoob,30
khoobi,1
khoobsorat,1
khoobsurat,8
khoobsurati,1
khood,1
khoof,1
khoon,22
khooni,1
khooob,1
khoooof,1
khoor,3
khoosh,1
khoota,1
khopri,1
khor,5
khorak,1
khori,2
khoro,6
khoron,1
khorri,1
khos,1
khose,1
khosh,4
khoshgwar,1
khoshion,1
khososi,8
khosry,1
khota,2
khotafree,1
khotay,4
khote,1
khoti,2
khotiyaaa,1
khoton,1
khotot,3
khoty,1
khotyy,1
khou,1
khoub,1
khoubsurti,3
khoud,2
khouf,3
khowaraly,1
khowja,1
khoy,1
khoye,1
khr,1
khrab,11
khrache,1
khray,1
khrb,5
khre,1
khri,1
khridna,1
khrin,1
khrxh,1
khry,2
khshyan,1
khssary,1
khta,3
khtaam,1
khtam,9
khtay,1
khte,3
khteeb,2
khti,6
khtkta,1
khtm,26
khtrnaak,1
khty,5
khu,3
khuaf,1
khuaish,1
khub,14
khubi,3
khubiya,3
khubiyon,2
khubsoorat,2
khubsorat,6
khubsurat,15
khubsuray,1
khubsuret,1
khubsurt,5
khubsurti,2
khubyan,1
khuch,7
khuchh,1
khud,268
khuda,53
khudad,1
khudadad,5
khudai,2
khudaraa,1
khudari,2
khudd,3
khudda,1
khudgharz,1
khudh,1
khudhh,1
khudi,9
khudiii,1
khudkash,3
khudkashi,3
khudkush,4
khudkushi,3
khudkushiyan,1
khudnost,1
khudsy,1
khueab,1
khuf,3
khufia,2
khufiya,2
khufnak,1
khujli,3
khul,20
khula,10
khulam,1
khulasa,1
khulay,1
khule,3
khulenge,2
khuley,1
khulfa,1
khuli,5
khulla,1
khulle,1
khulnay,1
khuloos,1
khulos,2
khulta,1
khulte,1
khulti,2
khulwa,2
khulwaye,1
khulyy,1
khun,4
khunganian,1
khuraak,3
khurachna,1
khurachnay,1
khurafat,1
khurak,4
khurasan,1
khurdad,1
khuro,1
khurram,3
khursandbayarali,1
khursheed,9
khursheedshah,2
khurshid,1
khuru,1
khus,4
khusboo,1
khush,104
khusha,1
khushaaind,1
khushaal,2
khushab,2
khushai,1
khushbodar,1
khushboo,9
khushbu,1
khushean,1
khushgawar,3
khushhaal,2
khushhaali,1
khushhali,1
khushhh,1
khushi,40
khushian,3
khushion,1
khushiun,3
khushiyan,3
khushiyon,1
khushk,6
khushkhabri,1
khushkhabriyan,1
khushpolice,1
khushqismati,1
khushya,2
khushyo,1
khushyon,1
khusi,1
khusk,1
khusoos,2
khusoosan,1
khusosan,2
khusosi,5
khusra,3
khusray,1
khusre,1
khusro,2
khusrray,1
khusry,2
khuss,1
khusurt,1
khususan,1
khususi,1
khutba,2
khutot,1
khuwa,5
khuwaar,4
khuwaaroon,2
khuwab,6
khuwabon,3
khuwah,1
khuwahish,13
khuwahishat,1
khuwahishmand,5
khuwahon,1
khuwaish,2
khuwaja,6
khuwan,2
khuwani,1
khuwar,2
khuwari,2
khuwaroon,1
khuwateen,13
khwa,2
khwaab,3
khwaaroon,1
khwab,7
khwabb,2
khwahisaat,1
khwahish,8
khwaja,3
khwand,1
khwarizmi,1
khwaroon,3
khwas,1
khwata,1
khwateen,3
khwnd,1
khy,4
khya,2
khyaal,1
khyal,11
khyber,7
khyer,1
khyl,1
khzana,2
khzane,1
ki,5879
ki.dolat,1
kia,618
kia.matlab,1
kia.ubqari,1
kiaa,7
kiaaa,1
kiai,1
kiaplay,1
kiaur,1
kichaye,1
kici,5
kick,3
kickback,1
kid,3
kidaar,1
kidar,4
kidding,1
kider,1
kidhar,3
kidhr,1
kidnap,5
kidr,4
kids,4
kie,3
kiein,2
kien,2
kifarma,1
kifayat,2
kigiayga,1
kihe,1
kihne,1
kihti,1
kii,2
kiiaa,1
kiisi,1
kijamat,1
kije,1
kijea,1
kijeay,1
kijeye,4
kijia,2
kijie,2
kijiga,1
kijiy,1
kijiya,1
kijiye,10
kijuye,1
kijye,7
kijyega,1
kijyga,1
kikhaali,1
kikurufat,1
kil,4
kilarii,1
kiliay,1
kiliy,1
kill,2
killer,5
killerbagaret,1
killers,1
killing,13
kilo,4
kimusic,1
kin,29
kinar,1
kinara,1
kinaray,2
kinary,1
kind,5
kinda,1
kindly,17
king,10
kingfisher,2
kingri,1
kings,4
kinhein,2
kini,1
kinni,1
kino,1
kinsan,1
kinza,44
kinzaa,3
kio,5
kiok,2
kion,10
kionkar,2
kioon,1
kipadasht,1
kips,1
kiradar,1
kiran,4
kiraya,1
kiraye,2
kirayon,2
kirdaar,1
kirdar,63
kirdaron,3
kiredar,1
kirkira,2
kirshan,1
kis,125
kisa,1
kisam,6
kisan,2
kisath,1
kisay,4
kise,15
kishan,1
kisi,326
kisie,1
kisiko,1
kisim,2
kiska,1
kiski,1
kisko,8
kisky,1
kism,3
kismaat,1
kismat,2
kismet,2
kisnai,1
kisnay,2
kisne,3
kisny,1
kiss,2
kissan,2
kissay,1
kissi,8
kissy,1
kisy,7
kit,22
kita,3
kitaa,1
kitaab,6
kitab,30
kitaba,1
kitabain,1
kitabat,1
kitabein,7
kitaben,1
kitabi,1
kitabon,8
kitana,1
kitchen,4
kite,1
kithe,1
kithey,1
kithna,1
kithy,2
kithyy,1
kiti,1
kitna,35
kitnaa,1
kitnay,5
kitne,19
kitney,4
kitni,39
kitnii,1
kitny,10
kits,2
kittle,1
kitty,2
kiu,3
kiun,23
kiunkay,10
kiunke,2
kivay,1
kiy,3
kiya,814
kiyaa,3
kiyaaa,2
kiyaaaaa,1
kiyal,1
kiyani,3
kiyay,3
kiye,145
kiyea,1
kiyen,2
kiyon,1
kiyoon,1
kiyun,4
kiyya,3
kjtra,1
kkashti,1
kkhuda,1
kkisi,1
kl,23
klasra,1
klass,1
kle,2
kleeay,1
kli,1
klisy,1
klye,1
km,32
kmaal,3
kmaall,1
kmal,3
kmar,1
kmc,6
kmeena,1
kmeeni,1
kmeeniyo,1
kmeny,1
kmi,2
kminu,1
kml,1
kmran,1
kn,12
kna,1
kngree,1
knight,3
knights,4
knjr,2
knjrrrr,1
kno,1
knono,1
know,23
knowledge,4
known,2
knsa,2
knsay,1
knse,1
knw,3
knws,1
ko,3612
ko.bhi,1
ko.isi,1
koa,4
koam,2
koch,2
koching,2
kochon,1
koe,35
koey,1
kofr,1
koh,3
kohala,1
kohat,4
kohi,3
kohinoor,1
kohli,2
kohna,3
kohni,1
kohraam,1
koi,712
koie,4
koiee,1
koihall,1
koii,3
koiii,1
koin,1
kok,1
kokila,1
koko,2
kol,1
kola,1
kolachi,2
koli,2
kolkata,9
kolo,2
koly,1
kom,4
koma,1
komal,1
kon,130
kona,1
konay,1
kone,2
kong,4
konghwaguk,1
konhe,1
konn,1
kono,1
konsa,23
konsai,1
konse,7
konsi,12
konxi,1
koo,10
kooch,5
kood,4
kooda,1
kooday,1
kooh,1
kooi,1
koom,2
koon,1
koond,1
kooo,3
koorey,1
koory,1
koot,4
koota,1
kootay,1
kop,2
kopri,1
koqiamat,2
kor,2
kora,1
korak,1
korangi,15
korawalpindi,1
koray,2
kore,1
korea,2
koren,1
korina,1
koriyon,1
koron,2
korray,1
kort,6
koser,1
koshah,1
koshash,1
koshihson,1
koshish,59
koshishain,1
koshishein,5
koshishen,4
koshisho,1
koshishon,12
koshishs,3
kosingarwala,1
kosis,1
kosish,2
kosna,2
kostr,1
kosty,1
kot,4
kota,7
kotahy,1
kotahyon,1
kotay,1
kote,1
kotha,1
kotli,2
kotni,1
koto,1
kotta,1
kotte,1
koty,1
kou,1
kouch,2
koum,1
koun,2
kowe,1
kowi,1
koy,1
koya,1
koye,5
koyee,1
koyi,3
kp,2
kpk,41
kpry,1
kps,1
kq,1
kr,610
kra,11
kraaa,1
kraan,1
krab,1
krachi,2
krae,1
krah,1
krahe,1
krain,19
kram,5
krama,1
kramm,1
kran,3
krana,1
kraney,1
krani,1
krany,1
kratay,1
kraty,3
kray,10
krbla,1
krda,3
krde,2
krdeen,1
krdein,1
krdena,5
krdeta,2
krdetee,1
krdetin,1
krdey,1
krdi,11
krdia,14
krdiaa,1
krdien,1
krdijy,1
krdijyega,1
krdin,1
krdn,1
krdo,8
krdoge,1
krdogi,1
krdy,5
krdya,3
krdyga,1
kre,36
kree,1
kreem,3
kreen,1
krega,1
kreiin,1
krein,6
krein.inshallah,1
kreingy,1
krema,1
kren,60
krenge,2
krengi,1
krengy,3
krey,5
krgaii,1
krh,1
krhe,2
krhehey.islambad,1
kri,5
krian,4
krien,2
krin,7
kringay,1
krishan,2
krishna,1
krishnak,1
kristopher,1
krk,3
krka,1
krke,1
krkey,1
krky,1
krle,2
krlete,1
krleti,1
krli,2
krlia,1
krlo,5
krlon,1
krn,6
krna,103
krnaa,1
krnaaa,1
krnaay,1
krnay,11
krne,49
krnee,1
krnga,2
krnge,1
krni,22
krny,70
kro,126
krobi,1
kroge,1
krogi,1
kron,6
kronzra,1
kroo,2
kroon,3
krpa,2
krr,3
krraha,1
krrhi,1
krrhy,1
krsakty,1
krshng,1
krsktey,1
krskty,1
krsp,1
krt,1
krta,69
krtaaa,1
krtay,9
krte,32
krtee,1
krteen,1
krtey,1
krti,54
krtii,2
krtiii,1
krto,1
krty,80
kru,10
krun,6
krungi,1
krunlol,1
kruu,1
kruy,1
krwa,13
krwaa,1
krwadenyunnn,1
krwae,2
krwaen,1
krwan,1
krwana,7
krwani,1
krwany,1
krwao,2
krwaoo,1
krwata,1
krwati,3
krway,1
krwaya,4
krwaye,2
krwny,1
kry,75
kry.aameen,2
krya,1
krye,1
kryin,1
kryn,8
kryy,1
ks,8
ksa,1
ksamm,1
kse,4
ksee,1
ksh,1
ksi,23
ksis,1
ksisy,1
ksm,4
ksmain,1
ksmyy,2
ksmyyy,1
ksr,1
ksy,3
ktna,4
ktne,3
ktni,2
ktnii,1
ktniiii,1
kty,2
ku,31
kua,1
kub,5
kubhova,1
kubra,2
kubsoorat,1
kubsorat,1
kubsurat,1
kuc,2
kucch,1
kuch,452
kuch.samajh,1
kuchal,3
kuchalnay,1
kuchh,1
kuchhh,1
kuchkhilao,1
kuchu,1
kud,6
kue,1
kufar,3
kuffar,3
kuffun,1
kufr,2
kufrrr,1
kufur,1
kuin,1
kuishi,1
kuj,4
kujh,1
kujhe,1
kuky,1
kul,6
kulah,1
kulbushan,1
kulhari,1
kuli,2
kuliyat,1
kullo,1
kulsoom,3
kulsum,1
kulti,1
kulyaat,1
kulyat,1
kum,11
kumar,9
kun,24
kunal,1
kunarai,1
kund,2
kundan,1
kundi,2
kuneee,1
kunjar,1
kunji,1
kunsa,1
kunwari,1
kunyaalan,1
kupre,1
kur,4
kurah,1
kuray,2
kurcy,1
kurdi,1
kurhtey,1
kuri,2
kurit,1
kuriyan,1
kurly,1
kurna,1
kurri,2
kursi,5
kursiya,1
kursiyon,1
kurssi,1
kurta,5
kurte,1
kurti,2
kurty,1
kurufat,1
kush,10
kusha,2
kushada,1
kushadah,1
kushadgi,1
kushadh,1
kushbu,1
kushe,1
kushi,2
kushton,1
kusi,1
kussrrrriiiii,1
kuta,8
kutay,5
kute,3
kutee,1
kuthun,2
kuti,2
kutia,2
kuto,1
kutt,1
kutta,5
kuttay,10
kutte,5
kuttey,1
kutth,1
kutti,4
kutton,3
kutty,11
kutub,6
kuty,6
kutyyyy,1
kuuj,1
kuuti,1
kuwab,1
kuwaif,1
kux,1
kuxh,1
kw,3
kwaroon,1
kxm,1
ky,167
kya,357
kyaaa,1
kyaal,1
kyan,1
kye,2
kyea,1
kyel,1
kyia,1
kyle,1
kylia,1
kyliay,3
kyn,4
kyo,2
kyon,3
kyoon,6
kyou,1
kyoun,1
kysy,1
kyu,16
kyuki,1
kyun,101
kyunkar,1
kyunkay,7
kyunke,18
kyunkeh,1
kyunkey,1
kyunn,1
kzn,1
l,16
l.a,1
la,51
laa,6
laaa,1
laaaa,1
laaaanat,1
laaaav,1
laaave,1
laaay,1
laachi,1
laad,3
laag,1
laagao,1
laagat,2
laakh,3
laal,6
laalchi,4
laali,2
laambii,1
laamehdood,1
laan,3
laanat,20
laanat.stupid,1
laanati,2
laane,3
laani,1
laanti,2
laany,1
laao,2
laash,1
laat,1
laatay,3
laate,2
laay,2
laaye,3
laayi,1
laazmi,1
laazmu,1
lab,2
lab.assistant,2
laba,2
labaik,6
labay,2
labbak,2
labbeyaa,1
label,1
labi,2
labiba,1
labni,1
labon,3
labor,4
laboratories,1
labour,2
labtop,2
lac,22
lachak,3
lad,1
laddu,1
laden,1
ladies,3
ladiess,1
ladka,1
ladke,2
ladki,10
ladkiyan,1
ladkiyo,1
ladkiyon,6
ladkon,1
ladlay,1
lady,24
lae,4
laegue,1
laein,3
laelaj,1
laen,1
laeq,1
laey,1
laf,1
lafani,1
lafaz,4
lafx,1
lafz,17
lafziyat,1
lafzon,2
lafzoo,1
lafzoon,1
lag,95
laga,145
lagaa,1
lagadi,2
lagadia,1
lagadoo,1
lagae,4
lagaen,1
lagaey,1
lagai,6
lagain,1
lagalekin,1
lagam,2
lagan,6
lagana,10
laganay,4
lagane,9
laganey,2
lagany,2
lagao,9
lagaoge,1
lagaou,2
lagaoun,1
lagar,1
lagaraha,1
lagat,2
lagata,2
lagataar,3
lagatar,3
lagatay,2
lagate,5
lagatee,1
lagatey,1
lagati,4
lagaun,1
lagave,1
lagay,14
lagaya,30
lagaye,5
lagayen,3
lagaygi,1
lagbag,1
lagdi,3
lage,36
lagee,1
lageen,2
lagega,2
lagegi,1
lagein,4
lagen,6
lagerlof,9
lagerloflik,1
lagerlofne,1
lagey,5
laggi,2
lagging,1
laggye,1
laghari,1
laghw,1
lagi,59
lagie,1
lagiii,2
lagnaa,1
lagnay,2
lagne,6
lago,1
lagon,1
lagoo,3
lagraha,1
lagrahe,1
lagrahee,1
lagrhi,1
lagri,1
lagta,73
lagtay,5
lagte,4
lagtee,2
lagtha,1
lagti,29
lagty,3
lagwa,2
lagwai,1
lagwane,1
lagwaya,1
lagwaye,2
lagy,10
lahaq,2
lahiqa,1
lahnat,2
laho,1
lahooti,1
lahor,1
lahore,214
lahorewe,1
lahori,7
lahorieeooo,1
lahorii,1
lahoriiii,1
lahorio,1
lahorioooon,1
lahryain,1
lahy,1
lahza,1
lai,10
laibatahir,1
laihaz,1
laikan,2
laikar,1
laiken,1
laikh,1
laikin,9
laikum,1
laila,12
lain,27
laina,1
lainay,2
lainec,1
laiq,5
lait,1
laita,7
laitay,1
laiy,2
laiye,1
lajawaab,1
lajawab,14
lajawb,2
lajewab,2
lajiya,2
lajmi,1
lajna,1
lajwab,1
laka,1
lake,6
laken,28
lakh,36
lakha,1
lakhlanat,1
lakhnow,3
lakho,2
lakhon,13
lakhpa,1
lakhpat,1
lakhtee,1
laki,1
lakin,100
lakki,2
laklanat,2
lakn,1
lakri,2
lakron,1
lakshmi,1
lakun,1
lal,7
lala,30
lalach,7
lalak,20
lalay,1
lalch,1
lalchana,1
lalee,1
lalia,1
lalich,2
lalita,1
lalkar,1
lalkara,1
lalokhet,1
lamba,3
lambaaa,1
lambay,1
lambayi,1
lambe,1
lambey,1
lambi,57
lambiii,1
lamby,5
lame,3
lamha,4
lamhaat,1
lamhalh,1
lamhat,4
lamhe,3
lamhon,2
lamz,1
lan,3
lana,22
lanaat,2
lanat,134
lanat.ho,1
lanate,2
lanati,4
lanaton,1
lanatttt,1
lanay,12
lance,6
land,14
landcruisers,1
landhi,9
landing,1
landline,1
landon,7
landscape,1
landslidding,1
landsliding,1
lane,9
lanes,1
lanet,2
langa,1
langar,2
langoor,1
langra,1
langrana,1
langri,1
language,8
languages,2
lani,4
lanka,9
lankan,1
lannat,8
lannnnatttt,1
lant,10
lanta,1
lantaan,1
lanth,2
lanti,15
lantiiiii,1
lantin,1
lantio,2
lanty,2
lanut,1
lany,2
lao,1
lap,3
lapait,1
lapakte,1
laparwai,1
lapata,3
lappet,1
laptop,5
laptops,1
laqab,4
laqanoniat,1
laqanooniyat,1
laquniat,1
lar,9
lara,23
larai,11
laraib,3
larain,1
larako,1
larakpan,1
larari,1
laray,1
lare,2
larein,1
laren,1
large,8
largest,2
larh,1
larha,2
larhaka,1
larhakpan,1
larhkana,1
larhke,1
larhna,1
larhne,1
lari,1
larka,5
larkana,5
larkay,6
larke,5
larkeya,1
larki,34
larkia,1
larkian,2
larkieee,1
larkion,3
larkitu,1
larkiya,2
larkiyan,7
larkiyo,1
larkiyon,7
larkiyoo,1
larkiyoun,2
larko,5
larkon,2
larky,3
larna,4
larnay,1
larne,3
larny,1
laro,4
larooo,1
larre,1
larrkyun,1
larrnay,1
larro,1
larte,5
larty,2
larwaya,1
lary,2
larza,1
larzaan,1
larzah,2
larzan,1
larzish,1
las,1
lasani,1
lasbela,2
lases,1
lash,20
lashadeed,1
lashari,1
lashen,5
lashkar,1
lashkaron,1
lashker,1
lashon,1
lasia,1
laskengy,1
lasn,3
lassi,1
last,44
lasting,3
lat,1
lata,6
latadad,1
lataki,1
latalq,1
latay,3
latayen,3
late,14
lateee,2
lateef,1
latein,2
laten,1
lathi,5
lati,5
latif,6
latini,1
latka,5
latnti,1
latoo,1
latt,1
laty,5
lau,4
laubas,1
laughing,4
laughter,2
launceston,1
launcher,1
launching,1
launda,1
laundering,2
laundon,1
laurence,1
laut,4
lautay,1
lautey,1
lautne,1
lava,2
lavay,1
law,32
lawa,1
lawahikeen,1
lawahiqeen,3
lawain,1
lawani,1
lawaris,7
lawi,1
lawiyo,1
lawl,1
lawn,3
laws,6
lawyer,5
lawyers,1
lawzo,1
lay,61
laya,11
layana,1
laye,11
layegi,1
layeh,2
layen,6
layer,2
layi,5
laykin,3
layl,1
layna,1
laynay,1
layne,2
layoff,1
laytay,1
layte,3
layy,1
lazam,1
lazat,1
lazawaal,1
lazawal,1
lazim,5
lazm,1
lazmi,19
lazwal,2
lazzat,2
ldc,4
ldkio,2
ldl,1
ldr,1
ldrship,1
le,164
le.allah,1
lea,25
leacture,1
lead,1
leader,48
leaders,4
leadership,1
leading,1
leadr,1
leadro,1
leae,1
leag,2
leaga,1
leage,3
leagend,1
league,100
leaguei,1
leagues,1
leak,3
leakege,1
learn,1
learnt,1
leased,1
least,2
leather,6
leay,28
leaye,1
lebada,1
lebanon,1
lebas,1
lecturar,1
lecture,4
lecturer,2
lectures,3
led,2
leder,1
ledy,1
lee,8
leeee,1
leeg,2
leekun,1
leelamani,1
leen,1
leetay,1
leffa,1
left,15
leftinant,3
leg,10
lega,4
legae,1
legandary,1
legaye,1
legend,9
legendary,1
leghari,1
leghri,1
legia,1
legislative,2
legy,1
leh,1
lehar,4
lehaz,9
lehaza,20
lehazah,1
lehhh,1
lehja,1
lehjaa,2
lehjay,1
lehje,1
lehjey,1
lehjy,1
lehmga,1
lehnga,3
lehra,1
lehrana,1
lehraya,1
lei,1
leien,1
lein,11
leina,1
leine,1
leinge,2
leiy,1
leja,1
lejaenge,1
lejana,1
lejane,1
lejaya,1
lekan,1
lekar,7
lekay,2
leke,1
leken,2
lekh,4
lekhi,2
lekhna,9
lekhnay,1
lekhne,3
lekhni,2
lekhny,1
lekhte,1
leki,2
lekin,361
lekn,7
lekny,1
lel,4
lele,1
leli,2
lelia,2
leligia,1
leliya,1
lelo,2
lem,2
lemon,5
len,37
lena,53
lenaa,1
lenay,4
lene,34
leney,1
lenge,2
lengi,1
length,1
leni,8
lennon,1
lens,2
lentil,1
lenun,1
leny,3
lenz,1
leo,2
leone,1
leony,2
leraya,1
lerhki,1
leri,1
lerky,1
lesakty,1
lesaniyat,1
less,1
lesson,6
lessons,1
let,6
leta,19
letaa,1
letay,10
letcur,2
lete,28
letee,1
leti,14
letk,1
letkey,1
letratur,1
lets,8
letter,3
letters,1
lety,6
leuitenant,1
leva,1
level,34
levl,1
lewa,2
lewis,31
ley,20
leya,54
leyae,1
leyah,1
leye,218
leyea,2
leyeh,16
leyeyehi,1
leyin,4
leyn,1
leyr,1
lft.hota,1
lfz,3
lg,36
lga,47
lgaa,2
lgaein,1
lgaenge,1
lgai,2
lgain,1
lgake,1
lgana,2
lganay,1
lgany,3
lgao,2
lgaon,1
lgata,1
lgate,1
lgati,2
lgaty,1
lgay,1
lgaya,2
lgayen,1
lgdi,1
lge,3
lgen,1
lgg,1
lgi,11
lgin,1
lgna,4
lgnay,1
lgngi,1
lgny,1
lgra,1
lgrh,1
lgt,1
lgta,28
lgtay,2
lgti,6
lgtii,1
lgty,5
lgw,3
lgwa,2
lgy,9
lhenga,1
lhhant,1
lhr,4
li,107
lia,82
lia.jo,1
liadua,1
liakat,1
liaqat,4
liaqatabad,1
liaqaut,2
liaquat,27
liaquatabad,5
liaquattbd,1
liaqutabad,1
liauqat,3
liay,45
liaye,1
libaas,4
libas,8
liberal,2
libia,1
libian,1
libraries,2
library,2
licence,1
license,3
lider,1
lidr,1
lidrs,1
lidz,1
lie,25
lieay,1
liee,1
lien,2
liey,8
lieya,1
life,41
lift,1
lifting,2
lifz,1
light,27
lights,5
lightweight,1
ligtan,1
lihaaz,7
lihaz,5
lihaza,1
lijiye,5
lijye,2
lik,3
likah,1
likal,1
likalne,1
like,56
liked,2
likein,1
likele,1
liken,10
likes,3
likga,1
likh,42
likha,69
likhaa,3
likhaaaaaa,1
likhane,3
likhay,6
likhe,17
likhee,1
likhein,1
likhen,1
likhey,1
likhi,31
likhin,2
likhn,1
likhna,15
likhnay,2
likhne,16
likhney,2
likhny,5
likho,3
likhoon,1
likhta,5
likhtay,3
likhte,3
likhtey,3
likhti,4
likhun,1
likhwa,1
likhwaney,1
likhy,6
likhye,1
likin,3
liking,1
likn,2
lillah,1
lillahi,1
limbo,1
limelight,1
limit,1
lincoln,2
line,29
liner,2
lines,7
link,12
linsi,1
lion,3
lions,2
lipistic,1
lips,1
lipstck,1
lipstick,7
liqua,1
liquid,1
lire,1
lirki,1
lisl,1
list,19
listen,2
lit,2
lita,1
lite,2
litemar,1
liter,2
literacy,1
literally,1
literature,1
lithography,1
litre,1
litter,1
little,3
liue,2
live,21
lives,1
living,1
liy,31
liya,183
liyaa,1
liyaan,1
liyaaqat,1
liyai,1
liyari,8
liyay,7
liye,626
liye.hamare,1
liyea,1
liyee,4
liyeee,1
liyeeeee,1
liyeh,7
liyehe,1
liyemuhtram,1
liyooo,1
lke,1
lkh,2
lkha,4
lkhareeda,1
lkhi,2
lkhna,2
lkhni,1
lki,2
lkin,2
lkn,11
lkty,1
ll,8
llagaye,1
llb,7
llekn,1
lll,1
llm,1
lmao,3
lmbe,1
lmbi,2
lmg,1
lmha,1
lmora,1
ln,3
lna,1
lng,2
lngi,1
lngrhe,2
lo,109
lo.na,1
load,4
loadhraan,1
loadshedding,2
loadsheding,2
loafer,1
loafers,1
loag,3
loan,3
loathing,1
local,6
locan,1
locatin,1
location,4
lochapan,1
lock,2
locket,3
locus,1
lodhi,20
lodhran,2
lodi,2
lofgren,1
log,248
log.aun,1
log.koi,1
loggo,1
logh,2
loghon,1
logi,1
logic,5
logical,1
logically,1
logice,1
login,1
logn,2
logo,98
logon,142
logono,1
logoo,1
logoon,6
logooo,1
logoun,1
logu,2
logun,5
logy,1
loha,9
lohar,2
lohdi,1
lohe,1
loher,1
loho,1
lohy,1
loin,1
loji,2
lok,5
lokhnay,1
loki,1
loking,1
lol,89
lolllll,1
lolllllllll,1
lollywood,3
lololol,1
lolor,1
lolpehla,1
lols,1
lolx,4
lolxxx,1
lolxxxx,1
lolxxxxoye,1
lolz,6
lomdiyan,1
lon,6
londa,1
londan,1
londi,1
londiyon,1
london,36
londy,2
lone,1
long,14
longa,1
longer,1
longi,1
longlasting,1
loo,9
loodhe,1
loog,16
loogo,1
loogon,1
looh,1
look,14
lookin,1
looking,3
looks,9
loon,2
loonga,1
looo,1
loooo,2
loooooooooota,1
loose,4
loot,11
loota,6
looterey,1
looters,1
looting,1
lootna,1
lootnay,1
lootne,2
lootoon,1
lootu,1
lop,1
lora,1
lord,2
lords,1
lore,1
loreto,1
lorri,1
lorry,3
los,5
lose,7
loser,5
losers,1
loss,2
lost,1
lot,15
lota,8
lotay,1
lote,2
lotein,2
lotion,1
loton,1
lott,1
lottati,1
lotus,1
loty,1
lou,3
loudly,1
loug,10
lougo,4
louse,1
lout,7
loutay,1
lov,1
love,93
loved,2
loveeee,1
lovely,3
lovers,1
loves,3
lovly,1
lovuuuuuu,1
low,20
lower,7
lowers,1
lowest,2
lown,1
lpg,1
lq,7
lrh,1
lrkaand,1
lrke,2
lrki,6
lrkio,1
lrkiya,1
lrkiyan,1
lrna,1
lrr,1
lrrki,1
lry,1
lst,2
lt,3
lti,1
ltka,1
ltkaya,1
lty,2
lu,3
luay,1
lub,1
lubha,1
lubly,1
lubna,1
luciana,3
luck,12
luck.for,1
lucknow,1
lucky,4
lucman,1
lud,1
ludhiana,1
ludhyanwi,1
ludo,2
lug,4
luga,1
lugdee,1
lughat,5
lughaton,1
